,Buying,Maint,Doors,Persons,Lugboot,Safety,y
1,4,4,2,2,1,1,negative
2,4,4,2,2,1,2,negative
3,4,4,2,2,1,3,negative
4,4,4,2,2,2,1,negative
5,4,4,2,2,2,2,negative
6,4,4,2,2,2,3,negative
7,4,4,2,2,3,1,negative
8,4,4,2,2,3,2,negative
9,4,4,2,2,3,3,negative
10,4,4,2,4,1,1,negative
11,4,4,2,4,1,2,negative
12,4,4,2,4,1,3,negative
13,4,4,2,4,2,1,negative
14,4,4,2,4,2,2,negative
15,4,4,2,4,2,3,negative
16,4,4,2,4,3,1,negative
17,4,4,2,4,3,2,negative
18,4,4,2,4,3,3,negative
19,4,4,2,5,1,1,negative
20,4,4,2,5,1,2,negative
21,4,4,2,5,1,3,negative
22,4,4,2,5,2,1,negative
23,4,4,2,5,2,2,negative
24,4,4,2,5,2,3,negative
25,4,4,2,5,3,1,negative
26,4,4,2,5,3,2,negative
27,4,4,2,5,3,3,negative
28,4,4,3,2,1,1,negative
29,4,4,3,2,1,2,negative
30,4,4,3,2,1,3,negative
31,4,4,3,2,2,1,negative
32,4,4,3,2,2,2,negative
33,4,4,3,2,2,3,negative
34,4,4,3,2,3,1,negative
35,4,4,3,2,3,2,negative
36,4,4,3,2,3,3,negative
37,4,4,3,4,1,1,negative
38,4,4,3,4,1,2,negative
39,4,4,3,4,1,3,negative
40,4,4,3,4,2,1,negative
41,4,4,3,4,2,2,negative
42,4,4,3,4,2,3,negative
43,4,4,3,4,3,1,negative
44,4,4,3,4,3,2,negative
45,4,4,3,4,3,3,negative
46,4,4,3,5,1,1,negative
47,4,4,3,5,1,2,negative
48,4,4,3,5,1,3,negative
49,4,4,3,5,2,1,negative
50,4,4,3,5,2,2,negative
51,4,4,3,5,2,3,negative
52,4,4,3,5,3,1,negative
53,4,4,3,5,3,2,negative
54,4,4,3,5,3,3,negative
55,4,4,4,2,1,1,negative
56,4,4,4,2,1,2,negative
57,4,4,4,2,1,3,negative
58,4,4,4,2,2,1,negative
59,4,4,4,2,2,2,negative
60,4,4,4,2,2,3,negative
61,4,4,4,2,3,1,negative
62,4,4,4,2,3,2,negative
63,4,4,4,2,3,3,negative
64,4,4,4,4,1,1,negative
65,4,4,4,4,1,2,negative
66,4,4,4,4,1,3,negative
67,4,4,4,4,2,1,negative
68,4,4,4,4,2,2,negative
69,4,4,4,4,2,3,negative
70,4,4,4,4,3,1,negative
71,4,4,4,4,3,2,negative
72,4,4,4,4,3,3,negative
